text,emotion
I feel blue and unmotivated,sadness
I cannot stop thinking about the loss,sadness
My mood is low and gloomy,sadness
I feel sorrow after hearing the story,sadness
The goodbye was painful and sad,sadness
I feel discouraged by repeated failure,sadness
I am disappointed in myself today,sadness
I feel heartbroken after the argument,sadness
The empty room makes me miss them,sadness
I feel helpless and close to tears,sadness
The memory brings sadness back,sadness
I feel abandoned by everyone,sadness
The rainy day matches my sad mood,sadness
I am hurting more than I expected,sadness
I feel regret and sadness tonight,sadness
I feel tired of pretending I am fine,sadness
I feel lonely even in a crowd,sadness
The bad result made me feel low,sadness
I feel sorrowful after that message,sadness
I am unhappy with how things ended,sadness
My chest feels heavy with sadness,sadness
I feel down after the argument,sadness
I am disappointed that nobody came,sadness
I am angry about what happened,anger
This is unfair and frustrating,anger
I hate being ignored,anger
The service was terrible and rude,anger
I am furious with this mistake,anger
That comment really annoyed me,anger
I feel irritated by the delay,anger
This behavior is completely unacceptable,anger
I am mad that nobody listened,anger
The insult made me lose my temper,anger
I feel outraged by the decision,anger
Their lies made me furious,anger
I cannot stand this disrespect,anger
The constant noise is annoying me,anger
I feel bitter about being treated badly,anger
This argument made me angry,anger
I am frustrated with the broken system,anger
The unfair rule makes me rage,anger
I feel offended by that rude reply,anger
I am tired of these careless mistakes,anger
The delay made me extremely irritated,anger
I feel hostile after that insult,anger
This cheating makes me furious,anger
I resent being blamed for everything,anger
I am annoyed because the plan failed,anger
That careless action made me angry,anger
The rude behavior spoiled my mood,anger
I feel provoked by their attitude,anger
I am angry that my work was ignored,anger
The broken promise made me furious,anger
I feel irritated when people interrupt me,anger
This unfair treatment makes me mad,anger
I am fed up with the excuses,anger
The careless reply made me angry,anger
I feel annoyed by repeated delays,anger
I am upset and furious about the mistake,anger
The rude answer made me frustrated,anger
I feel angry when people lie,anger
This broken rule makes me mad,anger
I am irritated by the constant complaints,anger
I am scared about the exam,fear
I feel nervous before the interview,fear
I am worried something bad will happen,fear
The dark room made me afraid,fear
I feel anxious and unsafe,fear
This risk makes me panic,fear
I am terrified of failing,fear
I cannot stop worrying tonight,fear
My hands shake when I think about it,fear
I feel frightened by the loud sound,fear
The uncertainty makes me anxious,fear
I am afraid of making a mistake,fear
This situation feels dangerous,fear
I worry that I will disappoint everyone,fear
The thought of losing scares me,fear
I feel tense and uneasy,fear
I panicked when the alarm rang,fear
The threat made me feel unsafe,fear
I am nervous about speaking in public,fear
I feel dread before the results arrive,fear
I worry about the future too much,fear
The strange footsteps scared me,fear
I feel insecure about this choice,fear
My fear keeps me awake at night,fear
I am anxious about traveling alone,fear
The warning message made me panic,fear
I feel vulnerable in this place,fear
I am terrified by the possibility of failure,fear
The exam hall makes me nervous,fear
I feel scared when plans are uncertain,fear
I am afraid the project will fail,fear
The storm outside makes me uneasy,fear
I feel worried about my health,fear
I am frightened by the sudden noise,fear
I feel nervous waiting for the call,fear
I worry that I made the wrong choice,fear
The dangerous road made me afraid,fear
I feel anxious before the presentation,fear
I am scared of being alone tonight,fear
I feel panic when I cannot breathe,fear
Wow I did not expect that,surprise
That news shocked me,surprise
I am surprised by the result,surprise
This happened so suddenly,surprise
I cannot believe what I just heard,surprise
That was an unexpected twist,surprise
I was amazed by the announcement,surprise
What a strange surprise,surprise
The sudden change caught me off guard,surprise
I was stunned by the message,surprise
The result was completely unexpected,surprise
I gasped when I saw the score,surprise
I am amazed that this happened,surprise
The ending shocked everyone,surprise
I never imagined this outcome,surprise
That reveal left me speechless,surprise
I was startled by the loud knock,surprise
The news came out of nowhere,surprise
I am astonished by this discovery,surprise
The announcement surprised the whole room,surprise
I did not see that coming,surprise
The sudden win amazed us,surprise
I was shocked by the quick response,surprise
That unexpected call surprised me,surprise
The twist in the story was surprising,surprise
I feel amazed by the magic trick,surprise
The sudden visitor startled me,surprise
The result was a real surprise,surprise
The sudden alarm shocked me,surprise
I was amazed by the hidden talent,surprise
The unexpected gift surprised me,surprise
I felt startled by the announcement,surprise
The quick decision shocked the team,surprise
The sudden message surprised everyone,surprise
I was shocked to see the final score,surprise
I am surprised by how fast it happened,surprise
The discovery amazed the class,surprise
The reveal was completely surprising,surprise
I felt stunned after reading the letter,surprise
The unexpected visitor amazed us,surprise
